FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE
0.1,A,38.388206,-120.674364,6,20070924,20070924,6005.0,20070924
0.1,A,38.37345,-120.679181,6,20040530,20040531,6005.0,20040530
48.0,C,38.549742,-120.848833,6,20060828,20060829,6005.0,20060828
0.1,A,38.417581,-120.641989,6,20010605,20010605,6005.0,20010605
0.1,A,38.50194444,-120.35222222,6,20071029,20071029,6005.0,20071029
0.1,A,38.388469,-120.6429,6,20021125,20021125,6005.0,20021125
0.1,A,38.460733,-120.645322,6,20060708,20060708,6005.0,20060708
12.0,C,38.434419,-121.010411,6,19990706,19990706,6005.0,19990706
0.1,A,38.460489,-120.660481,6,19990707,19990707,6005.0,19990707
0.3,B,38.44615,-120.5122,6,20040507,20040507,6005.0,20040507
0.1,A,38.405917,-120.898842,6,20070106,20070106,6005.0,20070106
0.1,A,38.44615,-120.5122,6,20021106,20021106,6005.0,20021106
0.4,B,38.446589,-120.827111,6,20000903,20000903,6005.0,20000903
5.0,B,38.349167,-120.663889,6,20060625,20060625,6005.0,20060625
0.2,A,38.417581,-120.641989,6,20020619,20020619,6005.0,20020619
0.1,A,38.93555556,-119.91805556,6,20000803,20000805,6005.0,20000803
0.1,A,38.432481,-120.585989,6,20040911,20040911,6005.0,20040911
0.1,A,38.59861111,-119.98472222,6,20070828,20070909,6005.0,20070828
0.3,B,38.316381,-120.7159,6,20010620,20010620,6005.0,20010620
4.0,B,38.460839,-120.64185,6,20030719,20030719,6005.0,20030719
0.1,A,38.53472222,-120.51777778,6,20070403,20070403,6005.0,20070403
0.3,B,38.446289,-120.641769,6,20020405,20020405,6005.0,20020405
0.1,A,38.461211,-120.623219,6,20040114,20040114,6005.0,20040114
140.0,D,38.449061,-121.0099,6,20000726,20000727,6005.0,20000726
0.1,A,38.417881,-120.586031,6,20031114,20031114,6005.0,20031114
0.1,A,38.344389,-120.67945,6,20040318,20040318,6005.0,20040318
2.0,B,38.446711,-120.845539,6,19980701,19980701,6005.0,19980701
0.1,A,38.489089,-120.585669,6,20020509,20020509,6005.0,20020509
0.1,A,38.44615,-120.5122,6,20010904,20010904,6005.0,20010904
0.25,A,38.62722222,-120.13194444,6,20071004,20071004,6005.0,20071004
0.1,A,38.67,-120.1125,6,20060624,20060624,6005.0,20060624
0.1,A,38.417881,-120.586031,6,19990906,19990906,6005.0,19990906
0.5,B,38.502569,-120.678489,6,19991103,19991103,6005.0,19991103
0.1,A,38.302231,-120.881481,6,20000526,20000526,6005.0,20000526
8.0,B,38.3589,-120.6503,6,20050725,20050725,6005.0,20050725
