,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
334,334,334,334,334,334,334,334,334,8527,0.1,A,41.46833333,-121.29166667,6,20090802,20090803,6049.0,20090802,297,121,192,51,2.7886903,98.667
335,335,335,335,335,335,335,335,335,8528,0.3,B,41.219189,-121.191431,6,19990613,19990613,6049.0,19990613,283,83,183,0,3.1662292,153.333
336,336,336,336,336,336,336,336,336,8529,0.1,A,41.51722222,-121.05194444,6,20090809,20090809,6049.0,20090809,250,46,152,0,0.45694783,97.0
337,337,337,337,337,337,337,337,337,8530,4.8,B,41.73333333,-121.41694444,6,20090801,20090803,6049.0,20090801,270,150,204,0,0.79428977,98.667
338,338,338,338,338,338,338,338,338,8531,0.5,B,41.07944444,-120.80083333,6,20081013,20081014,6049.0,20081013,113,2,66,0,1.10941,73.0
339,339,339,339,339,339,339,339,339,8532,0.4,A,41.66833333,-120.89833333,6,20090730,20090731,6049.0,20090730,302,75,194,0,1.2163067,98.667
340,340,340,340,340,340,340,340,340,8533,0.1,A,41.4997,-120.8467,6,20080408,20080408,6049.0,20080408,-1,-52,-33,102,1.8031383,91.0
341,341,341,341,341,341,341,341,341,8534,0.3,B,41.55235,-120.515039,6,20030723,20030723,6049.0,20030723,378,189,283,0,1.7117209999999998,81.667
342,342,342,342,342,342,342,342,342,8535,0.2,A,41.6816,-120.0377,6,20030722,20030722,6049.0,20030722,375,135,244,0,0.8043048,81.667
343,343,343,343,343,343,343,343,343,8536,0.1,A,41.218111,-121.378889,6,19990728,19990728,6049.0,19990728,260,84,164,0,2.8375356,153.667
344,344,344,344,344,344,344,344,344,8537,0.1,A,41.1867,-120.4114,6,20090712,20090712,6049.0,20090712,199,48,133,0,3.0611184,123.75
345,345,345,345,345,345,345,345,345,8538,0.2,A,41.263269,-121.172169,6,19990810,19990810,6049.0,19990810,188,61,114,51,2.9004402,153.667
346,346,346,346,346,346,346,346,346,8539,9.0,B,41.63822,-120.11606,6,19990815,19990816,6049.0,19990815,197,32,110,0,0.9654041,153.667
347,347,347,347,347,347,347,347,347,8540,5.5,B,41.13694444,-120.78972222,6,20080505,20080507,6049.0,20080505,204,49,133,0,1.2206538,169.0
348,348,348,348,348,348,348,348,348,8541,15.5,B,41.218189,-121.417489,6,19990822,19990823,6049.0,19990822,263,128,183,0,2.5955694,128.0
349,349,349,349,349,349,349,349,349,8542,0.1,A,41.2299,-120.4461,6,20030701,20030701,6049.0,20030701,272,28,150,0,3.1323042,168.667
350,350,350,350,350,350,350,350,350,8543,640.1,A,41.290681,-120.716769,6,19990823,19990823,6049.0,19990823,256,94,162,0,1.6130155000000002,128.0
351,351,351,351,351,351,351,351,351,8544,4.0,B,41.72611111,-120.31277778,6,20090703,20090704,6049.0,20090703,257,80,177,0,1.6070213,146.0
352,352,352,352,352,352,352,352,352,8545,22.0,C,41.37755,-120.573319,6,19980916,19980916,6049.0,19980916,249,26,137,0,1.995419,153.333
